,Unnamed: 0,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised,hidden_states
1487,1809,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/12/2017 1:00,3/13/2017 1:00,70,0.0,0.0,2
1488,1810,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/13/2017 1:00,3/14/2017 1:00,71,0.0,0.0,2
1489,1811,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/14/2017 1:00,3/15/2017 1:00,72,0.0,0.0,2
1490,1812,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/15/2017 1:00,3/16/2017 1:00,73,2649.0,0.19971351,0
1491,1813,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/16/2017 1:00,3/17/2017 1:00,74,3560.0,0.268395657,0
1492,1814,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/17/2017 1:00,3/18/2017 1:00,75,4684.0,0.353136309,0
1493,1815,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/18/2017 1:00,3/19/2017 1:00,76,1913.0,0.14422497,0
1494,1816,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/19/2017 1:00,3/20/2017 1:00,77,278.0,0.020958987,0
1495,1817,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/20/2017 1:00,3/21/2017 1:00,78,11.0,0.000829312,0
1496,1818,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/21/2017 1:00,3/22/2017 1:00,79,2735.0,0.206197226,0
1497,1819,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/22/2017 1:00,3/23/2017 1:00,80,1352.0,0.101930036,0
1498,1820,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/23/2017 1:00,3/24/2017 1:00,81,2542.0,0.191646562,0
1499,1821,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/24/2017 1:00,3/25/2017 1:00,82,3907.0,0.294556695,0
1500,1822,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/25/2017 1:00,3/26/2017 1:00,83,2750.0,0.207328106,0
1501,1823,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/26/2017 1:00,3/27/2017 2:00,84,3225.0,0.243139324,0
1502,1824,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/27/2017 1:00,3/28/2017 1:00,85,5778.0,0.435615199,0
1503,1825,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/28/2017 1:00,3/29/2017 1:00,86,5229.0,0.39422497,0
1504,1826,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/29/2017 1:00,3/30/2017 1:00,87,3178.0,0.23959589899999997,0
1505,1827,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/30/2017 1:00,3/31/2017 1:00,88,2261.0,0.17046139899999999,0
1506,1828,BHX,66,MEA,walk_distance,1/2/2017 1:00,3/31/2017 1:00,4/1/2017 1:00,89,3929.0,0.29621532,0
1507,1829,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/1/2017 1:00,4/2/2017 1:00,90,5610.0,0.42294933700000004,0
1508,1830,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/2/2017 1:00,4/3/2017 1:00,91,4275.0,0.322300965,0
1509,1831,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/3/2017 1:00,4/4/2017 1:00,92,3870.0,0.291767189,0
1510,1832,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/4/2017 1:00,4/5/2017 1:00,93,5339.0,0.402518094,0
1511,1833,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/5/2017 1:00,4/6/2017 1:00,94,5008.0,0.377563329,0
