,AIC,BIC,Log_Likelihood,activity,n_states,user
234,-158.14341329538024,-133.01909846033573,82.07170664769012,walk_distance,2,68
235,-178.62535799492818,-128.37672832483912,95.31267899746409,walk_distance,3,68
236,-247.32061960487454,-163.57290348805944,133.66030980243727,walk_distance,4,68
237,-257.0181544288616,-131.39658025363894,143.5090772144308,walk_distance,5,68
238,-252.8747289282021,-77.00452508289038,147.43736446410105,walk_distance,6,68
239,-253.86491862371508,-19.37131349663281,154.93245931185754,walk_distance,7,68
240,-255.29366718058537,46.19811083994898,163.6468335902927,walk_distance,8,68
241,-245.08329299147124,131.78142953419672,167.54164649573562,walk_distance,9,68
242,-239.44150536232337,221.17093328015972,174.72075268116168,walk_distance,10,68
243,-158.20830741584314,-133.08399258079862,82.10415370792157,walk_steps,2,68
244,-180.32733187264762,-130.07870220255856,96.16366593632381,walk_steps,3,68
245,-251.25172246949683,-167.50400635268173,135.6258612347484,walk_steps,4,68
246,-261.23425661429764,-135.612682439075,145.61712830714882,walk_steps,5,68
247,-252.63000617238345,-76.75980232707172,147.31500308619172,walk_steps,6,68
248,-247.01091445179298,-12.517309324710709,151.5054572258965,walk_steps,7,68
249,-248.56176615768334,52.93001186285102,160.28088307884167,walk_steps,8,68
250,-247.61661819125305,129.2481043344149,168.80830909562653,walk_steps,9,68
251,-241.80786460054964,218.80457404193345,175.90393230027482,walk_steps,10,68
252,-73.69841771114469,-50.539543284974656,39.84920885557234,sleep_awake_time,2,68
253,-84.68464465958789,-38.36689580724783,48.342322329793944,sleep_awake_time,3,68
254,-89.09589981304201,-11.899651725808567,54.547949906521005,sleep_awake_time,4,68
255,-86.60557909599402,29.188793034856133,58.30278954799701,sleep_awake_time,5,68
256,-80.67130197311049,81.44081901007972,61.335650986555244,sleep_awake_time,6,68
257,-85.97502575289212,130.17446889136153,70.98751287644606,sleep_awake_time,7,68
258,-78.43336286585165,199.4731302481887,75.21668143292582,sleep_awake_time,8,68
259,-75.90682828358706,271.4762881089634,82.95341414179353,sleep_awake_time,9,68
260,-58.714456071116786,365.8649084086671,84.35722803555839,sleep_awake_time,10,68
261,-107.95915353962563,-84.8002791134556,56.979576769812816,sleep_deep_time,2,68
262,-126.71997878855305,-80.40222993621299,69.35998939427652,sleep_deep_time,3,68
263,-130.70563739040344,-53.509389303169996,75.35281869520172,sleep_deep_time,4,68
264,-125.21036327282425,-9.415991141974104,77.60518163641213,sleep_deep_time,5,68
265,-121.7151601876686,40.39696079552161,81.8575800938343,sleep_deep_time,6,68
266,-119.09465334717726,97.0548412970764,87.54732667358863,sleep_deep_time,7,68
267,-106.61951647139182,171.28697664264854,89.30975823569591,sleep_deep_time,8,68
268,-118.09297588982417,229.29014050272627,104.04648794491209,sleep_deep_time,9,68
269,-97.17116344140396,327.4082010383799,103.58558172070198,sleep_deep_time,10,68
270,-34.18708907950918,-11.028214653339148,20.09354453975459,sleep_light_time,2,68
271,-30.265924317984364,16.051824534355696,21.132962158992182,sleep_light_time,3,68
272,-33.375618299270315,43.82062978796313,26.687809149635157,sleep_light_time,4,68
273,-35.699427752919604,80.09494437793055,32.8497138764598,sleep_light_time,5,68
274,-28.880903407422338,133.23121757576786,35.44045170371117,sleep_light_time,6,68
275,-26.47275039828999,189.67674424596368,41.236375199144994,sleep_light_time,7,68
276,-32.86162108202379,245.04487203201657,52.430810541011894,sleep_light_time,8,68
277,-10.585215196729791,336.79790119582066,50.292607598364896,sleep_light_time,9,68
278,0.247117685581145,424.826482165365,54.87644115720943,sleep_light_time,10,68
279,-478.93902419284524,-455.7801497666752,242.46951209642262,sleep_tosleep_time,2,68
280,-522.80398582203,-476.4862369696899,267.401992911015,sleep_tosleep_time,3,68
281,-524.4290593395126,-447.23281125227913,272.2145296697563,sleep_tosleep_time,4,68
282,-522.4879821236426,-406.69360999279246,276.2439910618213,sleep_tosleep_time,5,68
283,-518.1696366429582,-356.05751565976794,280.0848183214791,sleep_tosleep_time,6,68
284,-509.6679822690511,-293.51848762479744,282.83399113452555,sleep_tosleep_time,7,68
285,-503.6200887097141,-225.71359559567372,287.81004435485704,sleep_tosleep_time,8,68
286,-483.83803009462724,-136.4549137020768,286.9190150473136,sleep_tosleep_time,9,68
287,-464.79961746136587,-40.22025298158201,287.39980873068293,sleep_tosleep_time,10,68
288,-39.106286168483344,-15.947411742313314,22.553143084241672,sleep_wakeup_num,2,68
289,-45.91126716184014,0.40648169049992333,28.95563358092007,sleep_wakeup_num,3,68
290,-43.88887577218338,33.30737231505006,31.94443788609169,sleep_wakeup_num,4,68
291,-38.58511834864123,77.20925378220892,34.292559174320616,sleep_wakeup_num,5,68
292,-40.745279770819565,121.36684121237064,41.37263988540978,sleep_wakeup_num,6,68
293,-29.56870190335613,186.58079274089752,42.784350951678064,sleep_wakeup_num,7,68
294,-27.970752297047497,249.93574081699285,49.98537614852375,sleep_wakeup_num,8,68
295,-4.454871185098057,342.9282452074524,47.22743559254903,sleep_wakeup_num,9,68
296,8.49174468812349,433.07110916790737,50.754127655938255,sleep_wakeup_num,10,68
